artist,title,genre,url,image,score,sp_artist,sp_popularity,sp_followers,sp_date,sp_img,sp_album_id,sp_artist_id
Fiver,You Wanted Country? Vol. 1,alternative,https://youvechangedrecords.bandcamp.com/album/you-wanted-country-vol-1,https://f4.bcbits.com/img/a296471393_2.jpg,34.639,Fiver,21,1087,2020-04-03T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02015f39af669fd001f1fbdaff,6P3Nf6AtzuIopOnIL2X35e,1nvq3vakg2j1A0wTpV0AkO
Luge,Luge,experimental,https://hugeluge.bandcamp.com/album/luge,https://f4.bcbits.com/img/a439944892_2.jpg,34.472,Luge,13,583,2020-04-24T00:00.000Z,https://i.scdn.co/image/ab67616d00001e025ce99a81738947fde57563f4,3BmO20hvs6qutveSf4I6sE,7daFRHQonSQK9Mu3op88n7
Jon Mckiel,Bobby Joe Hope,alternative,https://youvechangedrecords.bandcamp.com/album/bobby-joe-hope,https://f4.bcbits.com/img/a1343187982_2.jpg,34.472,Jon McKiel,13,979,2020-04-24T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02a8a1fb0c3e7759571c15a682,5mvIH4FABTL38eZF0CaRUX,42tgL54E6Mh70eIaikDven
Eliza Niemi,Glass,folk,https://elizaniemi.bandcamp.com/album/glass,https://f4.bcbits.com/img/a100589942_2.jpg,32.528,Eliza Niemi,13,171,2020-04-17T00:00.000Z,https://i.scdn.co/image/ab67616d00001e024e5d2432da566a812850a676,5tDZswz2hVSNdF4qJHkGaG,6UntKZ32JDgJV35Nmk5gDi
Cindy Lee,What's Tonight To Eternity,rock,https://cindylee.bandcamp.com/album/whats-tonight-to-eternity,https://f4.bcbits.com/img/a3690679937_2.jpg,32.278,Cindy Lee,36,5398,2020-02-14T00:00.000Z,https://i.scdn.co/image/ab67616d00001e028cc1e0b31aade5ecbad2af4a,5BEV4gGnAkRsLuoW3FQeqN,0TZExq5Dma8hecEIAKwQYA
LUKA KUPLOWSKY,Judee Justin Arthur Mary,folk,https://tunes.mamabirdrecordingco.com/album/judee-justin-arthur-mary,https://f4.bcbits.com/img/a1084377840_2.jpg,32.222,Luka Kuplowsky,10,272,2020-04-24T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02b91b42125a4e62be440b6473,0wCSdWmd16IEyBE7pqgKMD,3WoJfG2qjHZ9Q96yFMQ8FE
Hesitate,Promo 2020,punk,https://hesitatemusic.bandcamp.com/album/promo-2020,https://f4.bcbits.com/img/a3460676390_2.jpg,30.722,Hesitate,8,69,2020-04-24T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02bb360258e4e5c660feab1ec5,146J0SHAXEDxfP6TwPZf96,7anvaEfTi01Ax9OVGjpDA4
Familiars,All In Good Time,rock,https://familiarsmusic.bandcamp.com/album/all-in-good-time,https://f4.bcbits.com/img/a3372680928_2.jpg,27.583,Familiars,9,136,2020-04-10T00:00.000Z,https://i.scdn.co/image/ab67616d00001e020e5585befa409ae40ba60acc,3Bp4s7WUB2z6vPUGnYkIf2,4uprpW6W5uJorD6aIzFNH2
Hot Garbage,Easy Believer,rock,https://hotgarbagemusic.com/album/easy-believer,https://f4.bcbits.com/img/a2316577449_2.jpg,27.278,Hot Garbage,6,433,2020-04-17T00:00.000Z,https://i.scdn.co/image/ab67616d00001e026a936458f8d9e40db86ad171,2GetObZNYlKptytXdk7bFT,3mkQAzyS7Xr6AF9JLvXnrc
Costanza,George,electronic,https://tigerbloodtapes.bandcamp.com/album/george,https://f4.bcbits.com/img/a89505777_2.jpg,26.472,Costanza,19,1944,2020-03-10T00:00.000Z,https://i.scdn.co/image/ab67616d00001e020b3f7df282de2a4735a8e155,1UacddqftTJp3F8AZ29MPm,1qvYgywpWubEqaAKoKnaEg
Nick Storring,My Magic Dreams Have Lost Their Spell,experimental,https://nickstorring.bandcamp.com/album/my-magic-dreams-have-lost-their-spell,https://f4.bcbits.com/img/a3887648179_2.jpg,25.944,Nick Storring,12,137,2020-03-27T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02b8523f44fd03247af799c648,0UiUFt9f3FCSk0paxhkUXa,3eLda5nrhivbKY1bNJgICp
The Sun Harmonic,"It's All Okay, Thanks To You",alternative,https://thesunharmonic.bandcamp.com/album/its-all-okay-thanks-to-you,https://f4.bcbits.com/img/a2575701615_2.jpg,25.778,The Sun Harmonic,4,95,2020-04-17T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02f1fce132806ce36762e5c479,034IVZbzxjZhvLlA4eaTat,4y7VIhtqatehI7dxEZPhla
Andy Wiseman,Ambient 1: Arrival,experimental,https://andywiseman.bandcamp.com/album/ambient-1-arrival,https://f4.bcbits.com/img/a2404467158_2.jpg,25.472,Andy Wiseman,1,59,2020-04-24T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02c33609656611f21a3285a317,6hpItysO9UOhGQzQqLkAFs,58GNY7ndOWCz0I7aaRSt4R
Jordan Little,Late June EP,rock,https://jordanlittle108.bandcamp.com/album/late-june-ep,https://f4.bcbits.com/img/a2361843903_2.jpg,24.722,Jordan Little,0,0,2020-04-24T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02ffab6676d5b828b7277c5ca9,5EiHDtkhxXOMcd9VYwDwzM,3Ndf8jT8QL2WvW9BA9CRVW
Anastasia Minster,Father,jazz,https://anastasiaminster.bandcamp.com/album/father-2,https://f4.bcbits.com/img/a3683710503_2.jpg,24.611,Anastasia Minster,8,374,2020-04-02T00:00.000Z,https://i.scdn.co/image/ab67616d00001e0282536a3a01d2ea5d5b8fbf72,3AukaCaOZ1a5eLfNyeLqmA,2q3ClJmvQ8JmaKOCcgv5Gs
ROY,PEACE LOVE AND OUTER SPACE,rock,https://thesoundofroy.bandcamp.com/album/peace-love-and-outer-space,https://f4.bcbits.com/img/a3910398708_2.jpg,22.778,,0,,2020-04-17T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02ffcf96853202b4f950886013,1ZmTh5dVlwJ31tcqcTuK3O,
Various Artists,DEVIATIONS,electronic,https://deviantaudio.bandcamp.com/album/deviations,https://f4.bcbits.com/img/a115426096_2.jpg,21.944,,0,,2020-04-14T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02797bcf82e5f0e8f5df9cced0,4pROuPouIn8I7vzODCWlcl,
theNEWDEAL,Live: Charlotte 11.21.19,electronic,https://thenewdealband.bandcamp.com/album/live-charlotte-112119,https://f4.bcbits.com/img/a1568066399_2.jpg,18.889,,0,,2020-04-03T00:00.000Z,https://i.scdn.co/image/ab67616d00001e0217dcdc70af0991d6ea8799ea,65PtCbgWRWu69yyokP5jdq,
"Groves, Stranjah",WALLA / JUNGLE TING,electronic,https://deviantaudio.bandcamp.com/album/walla-jungle-ting,https://f4.bcbits.com/img/a3611037767_2.jpg,15.833,,0,,2020-03-23T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02a4862c2d5347ccf2b5ada768,7i0NP3nNOp6qBFtd1vIZCJ,
SADIE & THE WIVES,"S/T 7"" DEMO",punk,https://sadielasesposas.bandcamp.com/album/s-t-7-demo,https://f4.bcbits.com/img/a3212766326_2.jpg,11.222,sadie & the wives,2,14,2020-03-01T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02a46f369f7e18caf23b7a7a50,6kbVwbUi2TrFbKm0QhhXmm,1soFJFHUnzrcT5IMYgiL0D
